name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
Cardiawave,Levallois-Perret,"MedTech, HealthTech, DeepTech",startup,Growth Equity,3800000,EUR,4130600,https://cardiawave.com,"Cardiawave develops Valvosoft®, the first non-invasive, image-guided ultrasound therapy for severe calcific aortic stenosis. The CE-marked device uses focused ultrasound to fracture valve calcifications without surgery, implants, or general anesthesia, targeting patients who are ineligible for or unwilling to undergo valve replacement.",Growth Equity,Capital Cell,2026-06-01,805240108,,"Mickaël Tanter, Mathieu Pernot, Emmanuel Messas"
Macrodata Labs,Paris,"AI, Robotics",startup,Pre-Seed,4000000,USD,4000000,https://macrodata.co,"Macrodata Labs builds infrastructure that transforms raw multimodal robotics data into training-ready datasets for embodied AI. Its flagship product, Refiner, is an open-source framework and managed cloud runtime that processes video, sensor data, robotics logs, and other heterogeneous inputs into high-quality datasets for robot foundation models.",Pre-Seed,"Air Street Capital, Kima Ventures, Thomas Wolf, Drysdale Ventures, OPRTRS CLUB, commit, YG Ventures",2026-06-01,103760575,,"Guilherme Penedo, Hynek Kydlíček"
Haiku,Paris,"LegalTech, Artificial Intelligence, SaaS",startup,Seed,3000000,EUR,3261000,https://www.haiku.fr,"Haiku develops an AI-powered legal research and productivity platform that helps legal professionals search, analyze, and draft legal documents. The company partners with bar associations, institutions, and legal publishers to bring AI tools to the legal sector.",Seed,"Newfund Capital, M Capital",2026-06-01,981575947,,"Jules Touzet, Jorick Nuss, Jean Marcel Touzet"
Concord,"Paris, New York City","AdTech, Artificial Intelligence, SaaS",startup,Seed,3000000,USD,3000000,https://concord.ad,"Concord develops an agentic AI platform that automates media buying by turning campaign briefs into live advertising campaigns, managing execution, optimization, and reporting across major advertising platforms, including Google, Meta, Amazon DSP, The Trade Desk, and TikTok.",Seed,"A16Z Scout, Drysdale, Motier Ventures, Better Angle, Rémi Lemonnier, Philippe Corrot, Arthur Querou, Thomas Zaepffel",2026-06-01,988513875,,"Nathan Venezia, Nicolas Cosson, Antoine Chwalek"
Beams,Paris,MedTech,startup,Seed,1500000,EUR,1630500,https://www.beams.bio,"Beams is a French medtech spin-off from the CNRS developing TRIOP®, an intra-operative probe that uses nuclear medicine to help surgeons detect and remove residual cancer tissue during oncological surgery, improving surgical precision and reducing the risk of recurrence.",Seed,Bpifrance,2026-06-01,899384135,,"Virginie Simon, Estelle Villedieu de Torcy, Stéphane Palfi, Laurent Ménard"
Cilcare,Montpellier,"BioTech, HealthTech, Artificial Intelligence",startup,Growth Equity,,,,https://cilcare.com,"Cilcare is a biotechnology company developing novel therapies for hearing disorders, including hearing loss and tinnitus, while leveraging proprietary auditory biomarkers and AI-driven analytics to improve drug development and patient stratification.",Growth Equity,Sanofi,2026-06-01,803146125,,"Celia Belline, Sophie Gaboyard-Niay"
Fascent,Paris,E-commerce & Retail,startup,Seed,1300000,EUR,1413100,https://fascent.com,"Fascent is a Paris-based fragrance brand creating playful, sustainable perfumes at accessible price points. Founded in 2023 by former executives from Diptyque, Guerlain, Firmenich, and LVMH, the company combines French fragrance expertise with eco-conscious packaging and a direct-to-consumer approach.",Seed,,2026-06-01,953759289,,"Fanny Descamps, Edwina Réthoré"
MNGRS.AI,Paris,"Artificial Intelligence, Entertainment",startup,Seed,,,,https://mngrs.ai,"MNGRS.AI develops an AI-powered artist management platform that helps independent musicians with career planning, strategy, content development, and other management functions, bringing professional artist management tools to creators at scale.",Seed,Cortez Bryant,2026-06-01,921180402,,"Alexandre Deniot, Thomas Quenoil"
Comand AI,Paris,"DefenseTech, Artificial Intelligence",startup,Series A,32000000,EUR,34784000,https://comand.ai,"Comand AI is a Paris-based defense technology company developing AI-native command-and-control software for military operations. Its flagship platform, Prevail, enables armed forces to coordinate autonomous systems, distributed sensors, drone swarms, and human operators through AI-assisted decision-making and battlefield management.",Series A,"Blossom Capital, Saab, Expeditions",2026-06-01,951510627,,"Loïc Mougeolle, Antoine Chassan"
Prophesee,Paris,"DefenseTech, Drones, Artificial Intelligence, DeepTech",startup,Growth Equity,20000000,EUR,21740000,https://www.prophesee.ai,"Prophesee develops event-based vision sensors inspired by the human eye. Its technology captures only changes in a scene, enabling ultra-low-latency perception for applications in defense, security, robotics, and autonomous systems.",Growth Equity,,2026-06-01,800681892,,"Luca Verre, Christoph Posch, Ryad Benosman"
Rocapine,Paris,"HealthTech, Artificial Intelligence",startup,Series A,11000000,EUR,11957000,https://rocapine.com,"Rocapine is a Paris-based AI-native wellness venture studio that develops and scales consumer wellness applications focused on healthier habits, women's health, nutrition, and addiction recovery. Its portfolio includes Harmony, Unchaind, Stashcook, That Girl, and Eve, and it uses an AI-powered studio model to rapidly test, launch, and scale wellness apps.",Series A,"Educapital, Daphni, Ring Capital, Center Court Capital, Athletico Ventures, Better Angle, Jean-Charles Samuelian-Werve",2026-06-01,929934503,,"Stanislas Marchand, Jean-Gabriel Boinot-Tramoni, Sammy Teillet"
Green-Got,Paris,"FinTech, GreenTech, ClimateTech",startup,Funding Round,8000000,EUR,8696000,https://green-got.com,"Green-Got is a French sustainable finance fintech offering current accounts, payment cards, savings products, life insurance, and investment solutions designed to align customers' money with environmental values. The company aims to build an independent European banking alternative focused on financing the ecological transition.",Funding Round,,2026-06-01,883981763,,"Maud Caillaux, Andréa Ganovelli, Fabien Huet"
CardNexus,Bordeaux,"Gaming, Artificial Intelligence, FinTech",startup,Pre-Seed,3500000,EUR,3804500,https://cardnexus.com,"CardNexus is a mobile-first marketplace and collection management platform for trading card game (TCG) enthusiasts. The app combines AI-powered card scanning, collection tracking, and peer-to-peer trading across more than a dozen card games in a single platform.",Pre-Seed,"Piton Capital, Motier, FSJ, OPRTRS, Kima Ventures, Aquiti",2026-06-01,937817674,,Tristan Foureur
Osmos X,Rennes,"SpaceTech, Aerospace, DefenseTech",startup,Seed,2000000,EUR,2174000,https://osmosx.space,"Osmos X develops high-thrust reusable space vehicles and advanced plasma propulsion systems for orbital logistics, satellite servicing, space debris removal, and future interplanetary transportation. The company positions itself as a provider of the last mile of space logistics.",Seed,"Expansion, Rymdkapital, Jean-Jacques Dordain",2026-06-01,922472543,,Matthieu Cavellier
NotiPark,Paris,"Mobility, SaaS",startup,Seed,1700000,EUR,1847900,https://www.notipark.com,NotiPark develops an automated on-street parking solution that starts and stops parking sessions automatically using proprietary high-precision localization technology. The platform eliminates the need for drivers to manually launch parking apps and ensures that users pay only for the time they actually park.,Seed,"Sowefund, N1 Investment Company, Bpifrance Digital Venture",2026-06-01,984911495,,Jeremy Skowronek
Eledone,Paris,"Artificial Intelligence, SaaS",startup,Seed,1500000,EUR,1630500,https://eledone.com,"Eledone develops agentic AI software that automates B2B order processing and sales administration. Its platform integrates into existing workflows and systems, eliminating manual data entry between customers and suppliers without requiring companies to change their tools or processes.",Seed,Wind,2026-06-01,929846400,,"Bruno Heckel, Arno Heckel, Erwan Boullier"
Aiffin,Paris,"FinTech, Mobility Tech, Artificial Intelligence",startup,Seed,3125000,EUR,3396875,https://aiffin.com,"Aiffin is a Paris-based fintech providing AI-powered vehicle leasing and financing solutions for micro-entrepreneurs and small businesses. Its proprietary underwriting engine, OrbitScore, uses open banking data, cash-flow analysis, and behavioral signals to assess creditworthiness and automate financing decisions.",Seed,,2026-06-01,990647711,,"Sergii Vaskov, Khalil Aram"
Dawex,Lyon,"Artificial Intelligence, SaaS",startup,Growth Equity,,,,https://www.dawex.com,"Dawex develops data exchange and data ecosystem technology that enables organizations to securely source, share, trace, and govern data across industries. Its platform supports trusted data collaboration, AI traceability, compliance, and secure data transactions for enterprises and public-sector organizations.",Growth Equity,"Nemetschek Group, Banque des Territoires, Amadeus, Itochu Corporation, Bouygues Construction, Colas, Univers Capital",2026-06-01,810307207,,"Laure Lucchesi, Fabrice Tocco"
Cyclair,Pressac,"AgriTech, Robotics",startup,Growth Equity,,,,https://www.cyclair.fr,"Cyclair develops autonomous robotic weeding solutions for field crops. Its robots use camera- and LIDAR-based visual navigation to identify crop rows, distinguish weeds from cultivated plants, perform mechanical weeding, and collect agronomic field data without relying on GPS.",Growth Equity,Océalia,2026-06-01,880131800,,"Quentin Guillemot, Sebastien Gorry, Camille Auger"
Dry4Good,Cergy,"FoodTech, AgriFood, BioTech",startup,Growth Equity,,,,https://www.dry4good.com,"Dry4Good develops precision drying technology that transforms fruits, vegetables, and natural raw materials into high-value ingredients while preserving their nutritional and organoleptic properties. The company produces natural flavoring and coloring solutions that help food manufacturers reduce reliance on artificial additives and ingredients.",Growth Equity,Île-de-France Réindustrialisation Fund,2026-06-01,851016329,,"Jean-Gabriel Dijoud, Romaric Janssen"
Ellona,Toulouse,"Artificial Intelligence, ClimateTech",startup,Growth Equity,,,,https://www.ellona.io,"Ellona develops AI-powered environmental and situational intelligence solutions that combine sensors, real-time data analysis, and automated response systems. Its platform helps industrial operators, infrastructure providers, airports, and cities monitor environmental conditions, improve operational efficiency, and optimize infrastructure performance.",Growth Equity,"Green Growth Fund 2, Wermuth Asset Management, ADP Invest, Airbus Ventures",2026-06-01,817658909,,"Abdelwahed Lahmar, Rémi El-Ouazzane, Abdelilah Lahmar"
Morpho Labs,"Paris, New York City","FinTech, Web3",startup,Growth Equity,175000000,USD,175000000,https://morpho.org,"Morpho is an open blockchain-based credit network that enables lenders, borrowers, banks, asset managers, fintechs, exchanges, and institutions to build and access programmable on-chain lending and borrowing products through a shared credit infrastructure.",Growth Equity,"Paradigm, a16z crypto, Ribbit Capital, Apollo Funds, Circle Ventures, VanEck, Ledger Cathay Capital, Variant, Wintermute Ventures, Prelude, IOSG, HashKey, Mirana, NJJ Capital, SBI Group, Bpifrance, Bam Azizi",2026-06-01,902498492,,Paul Frambot
Alta Ares,Paris,"DefenseTech, AI, Drones",startup,Series A,50000000,EUR,54350000,https://www.altaares.com,"Alta Ares develops AI-powered air defense systems combining embedded computer vision, radar fusion, and autonomous interceptors to detect, identify, and neutralize drones and cruise missiles in real time.",Series A,"Air Street Capital, Cherry Ventures, OTB Ventures, Harpoon",2026-06-01,983352451,,"Stanislas Walch, Théo Bondarec, Hadrien Bernard, Alain Henry, Hadrien Canter"
Eclipse,Paris,"ClimateTech, Energy, AI",startup,Series A,20000000,EUR,21740000,https://eclipse-flow.com/,"Eclipse develops battery energy storage projects and Flowstream, an AI-powered optimization platform that buys, stores, and sells electricity based on real-time market conditions. The company aims to transform battery storage into a bankable financial asset while reducing renewable energy waste on European power grids.",Series A,"Noria, BNP Paribas",2026-06-01,981729635,,Augustin Derville
Mendo,Paris,"AI, SaaS",startup,Series A,12000000,EUR,13044000,https://mendo.cloud,"Mendo develops a SaaS platform that helps enterprises drive adoption of generative AI and AI agents by embedding guidance, training, analytics, and deployment capabilities directly into employees' everyday tools such as Microsoft 365 Copilot, ChatGPT, Gemini, and Mistral AI.",Series A,"Ventech, Educapital, Tomcat, OVNI",2026-06-01,901452177,,"Quentin Amaudry, Alexandre Pinon"
Finovox,Paris,"FinTech, InsurTech, Cybersecurity, AI",startup,Series A,8200000,EUR,8913400,https://finovox.com,"Finovox develops AI-powered document fraud detection solutions for insurers, banks, lenders, and financial institutions. Its platform verifies the authenticity of identity documents, invoices, payroll records, bank details, and supporting documents through API integrations embedded directly into customer workflows.",Series A,"TX Ventures, Auriga Cyber Ventures II, MTech Capital, Start Ventures, Force Over Mass, FDJ UNITED Ventures, Blast Club, Groupe IMA",2026-06-01,878381961,,"Marc de Beaucorps, Théophile du Portal, Pierre-Alexis Gouzien"
Kyber,Paris,"AI, Robotics, DefenseTech, Drones",startup,Seed,5000000,USD,5000000,https://kyber.io,"Kyber develops a real-time communications infrastructure designed for robots, drones, autonomous systems, and AI-powered machines, enabling ultra-low-latency transmission of video, sensor data, audio, and control commands across distributed environments.",Seed,"Lightspeed Venture Partners, OVNI Capital, Kima Ventures",2026-06-01,909894768,,Jean-Baptiste Kempf
Seacure,Marseille,"ClimateTech, DeepTech",startup,Growth Equity,7400000,EUR,8043800,https://www.seacure.fr,"Seacure develops Geocorail®, a patented electrochemical technology that creates natural rock structures in marine environments to protect coastlines, reinforce maritime infrastructure, combat coastal erosion, and restore marine biodiversity.",Growth Equity,"Fonds Révolution Environnementale et Solidaire, Truffle Capital",2026-06-01,539529669,,Christophe Souillart
Rematch,"Bordeaux, Fort Worth","SportsTech, Entertainment, AI",startup,Growth Equity,3000000,EUR,3261000,https://www.rematch.tv,"Rematch is a community-powered media platform for grassroots sports, enabling fans, parents, coaches, and volunteers to capture, create, and share sports highlights. The company is building a global media infrastructure for amateur sports powered by user-generated content and AI-driven video technologies.",Growth Equity,"Intervalle Capital, Stéphanie Gottlib-Zeh, Erik Rosengren, Rightbear Holding, Bpifrance",2026-06-01,832876585,,"Pierre Husson, Franck-Si Hassen, François Alary"
Builder Assist,Toulouse,"Robotics, DeepTech, PropTech",startup,Pre-Seed,2000000,EUR,2174000,https://www.builder-assist.com/,"Builder Assist develops robotic solutions for the construction industry. Its flagship product, Surface Assist, is a multi-purpose construction robot designed to automate hazardous and labor-intensive work at height, including facade scanning, precision drilling, sanding, cleaning, and painting.",Pre-Seed,,2026-06-01,945059079,,Alban Brisy
Mobioos,Paris,"AI, SaaS",startup,Pre-Seed,1500000,USD,1500000,https://www.mobioos.com,"Mobioos is building an enterprise context layer that connects business intent, software systems, and organizational knowledge into a trusted foundation for AI agents, autonomous systems, and AI-powered software development. Its platform projects business intent directly into codebases, helping enterprises improve the reliability, governance, and effectiveness of AI-driven workflows.",Pre-Seed,"Bombellii Ventures, Pierre Etienne Lorenceau, Myriam Maestroni, Gerald Maradan, Youcef Ramdane",2026-06-01,990692295,,Zaak Chalal
Hit Mag,Plouzané,"CleanTech, DeepTech",startup,Seed,1600000,EUR,1739200,https://www.hit-mag.fr/en/,"Hit Mag develops proprietary magnetic powder technologies to produce high-performance permanent magnets without rare earth elements. Its solutions aim to reduce carbon emissions, strengthen industrial sovereignty, and serve critical sectors including telecommunications, aerospace, automotive, robotics, and renewable energy.",Seed,"Lita, Bpifrance, SATT Ouest Valorisation, Breizh Up, Business Angels du Finistère, Business Angels d'Ille-et-Vilaine",2026-06-01,989157953,,Arnault Trac
Réempro,Sequedin,"CleanTech, ClimateTech",startup,Growth Equity,1600000,EUR,1739200,https://www.reempro.fr,"Réempro specializes in the reuse and refurbishment of construction materials, equipment, and professional furniture from renovation and selective deconstruction projects. The company manages the full value chain, including diagnostics, selective dismantling, waste management, refurbishment, resale, and logistics.",Growth Equity,"MakeSense Seed II, Finorpa SCR",2026-06-01,914180682,,"Jean-Baptiste Duran, Adrien Verlinde"
TheraPPI Bioscience,"Lyon, Geneva","BioTech, DeepTech",startup,Pre-Seed,,,,https://tppibio.com,"TheraPPI is a preclinical-stage biotech developing protein interaction-modifying therapies for oncology, rare diseases, and inflammatory disorders. Its lead program targets the ERK/MyD88 protein interaction within the Ras-MAPK pathway to overcome cancer drug resistance.",Pre-Seed,"PULSALYS, FONGIT",2026-06-01,947964219,,"Luc Otten, Toufic Renno, Isabelle Coste, Stéphane Giraud"
Quobly,Grenoble,"Quantum Computing, DeepTech",startup,Series A,115000000,EUR,125005000,https://www.quobly.io,"Quobly develops silicon-based quantum processors using a proprietary silicon spin qubit architecture designed for scalable, industrial-grade quantum computing. The company leverages semiconductor manufacturing processes to build fault-tolerant quantum systems capable of scaling to millions of qubits.",Series A,"STMicroelectronics, Bpifrance, SEALSQ, Isalt",2026-06-01,921773792,,"Maud Vinet, Laurent Schmid, Philippe Campana"
Innovafeed,Paris,"AgriTech, FoodTech, ClimateTech",startup,Growth Equity,51000000,EUR,55437000,https://www.innovafeed.com,"Innovafeed produces sustainable insect-based ingredients derived from black soldier fly (Hermetia illucens) larvae for animal nutrition, pet food, and agricultural applications. The company operates one of the world's largest insect protein production facilities and focuses on reducing dependence on traditional marine and agricultural feed resources.",Growth Equity,"Creadev, Qatar Investment Authority, Temasek, French Future Champions, ABC Impact, ADM",2026-06-01,819671843,,"Aude Guo, Bastien Oggeri, Clément Ray"
Innovorder,Paris,"FoodTech, SaaS, Artificial Intelligence",startup,Growth Equity,20000000,EUR,21740000,https://www.innovorder.com,"Innovorder develops an all-in-one SaaS platform for restaurant digitalization, covering order management, payments, kitchen operations, business management, customer loyalty, and AI-powered analytics for both commercial and contract catering operators.",Growth Equity,"UL Invest, Evolem",2026-06-01,804818482,,"Jérôme Varnier, Romain Melloul, Olivier Loverde"
NP Co.,Paris,"Artificial Intelligence, DeepTech",startup,Pre-Seed,6000000,EUR,6522000,https://augursim.ai/,"NP Co. develops AI foundation models for industrial simulation, enabling engineering teams to run complex physics simulations in seconds rather than days or weeks. Its technology applies transformer architectures to fluid dynamics and industrial engineering problems, helping manufacturers accelerate product design and innovation.",Pre-Seed,"Partech, Guillaume Lample, Cédric O, Peugeot Family Office, Florian Douetteau, Vincent Luciani",2026-06-01,953351962,,"Emmanuel Menier, Matthieu Nastorg"
noa,Paris,"FitnessTech, HealthTech, Artificial Intelligence",startup,Seed,5000000,EUR,5435000,https://www.noa.fit,"noa is a premium digital wellness startup developing personalized fitness and Pilates applications. The company focuses on structured, long-term coaching experiences that combine fitness, design, and technology to improve user engagement and outcomes.",Seed,"Founders Future, Kima Ventures, Drysdale, Eden, Intuition",2026-06-01,942968934,,"Guillaume Sztejnberg, Shreyas Rajagopalan, Jason Akakpo"
Upstream,Paris,"Artificial Intelligence, SaaS",startup,Pre-Seed,3000000,USD,3000000,https://www.upstream.do/,"Upstream is building an AI-native email platform designed for both humans and AI agents. The company transforms the inbox into a collaborative workspace where AI agents can manage workflows, draft responses, schedule meetings, retrieve information, and coordinate actions across teams.",Pre-Seed,"Y Combinator, Connect Ventures, Koen Bok, Jorn van Dijk, Nicolas Dessaigne, Julien Lemoine, Linda Tong, Jean-Charles Samuelian-Werve, Charles Gorintin, Roxanne Varza",2026-06-01,978437069,,"Louis Lecat, Jonathan Tiret"
Drotek,Avignonet-Lauragais,"Drones, Robotics",startup,Growth Equity,,,,https://www.drotek.com,"Drotek designs and manufactures professional drones and proprietary swarm-flight software for drone light shows. The company provides an integrated offering covering drone production, show creation, regulatory support, rental, technical support, and after-sales services.",Growth Equity,"Re-Sources, Grand Sud-Ouest Capital",2026-06-01,539120667,,Jérôme Perin
Primomanda,Paris,"PropTech, SaaS",startup,Seed,600000,EUR,652200,https://primomanda.fr,"Primomanda operates a technology platform dedicated to exclusive real estate mandates, connecting property sellers with real estate agents through a proprietary matching and scoring infrastructure. The company combines marketplace and SaaS models to optimize mandate distribution and agent selection.",Seed,"Patrick Dalsace, Thierry Herrmann, Stéphane Le Guen, Christian Terrassoux, Tatiana Terrassoux",2026-06-01,978738227,,"Benjamin Leiba, Benjamin Mechaly"
Tiva,Paris,"SportsTech, HealthTech",startup,Pre-Seed,600000,USD,600000,https://tiva.care,"Tiva develops performance-focused cosmetic products designed to improve athletic performance, including grip-enhancing gels, waxes, and sports sunscreen products used by professional and amateur athletes.",Pre-Seed,"Apex, Elina Svitolina, Eno Polo, Lars Jonker, Alberto Uncini Manganelli, Momentous Ventures",2026-06-01,921143350,,"Louis Cossart, Amaury Obadia"
