company,amount_raised,round,investors_participated,date_announced,website,description,city,official_sector,secondary_sector,tertiary_sector,SIREN
ZE Energy,54000000,Series B,"Amundi Energy Transition(AET), Demeter, Soregies",2024-11-05,https://www.ze-energy.com/,"ZE Energy operates in sectors such as energy, renewable energy, and solar, providing products and services that leverage its expertise in these areas.",Paris,CleanTech,Energy,,852197763
Morpho Labs,50000000,Series C,"a16z crypto, BH Digital, BlockTower Capital, Brevan Howard Asset Management, Cherry Ventures, Coinbase Ventures, Fenbushi Capital, Hack VC, IOSG Ventures, L1D, LeadBlock Bitpanda Ventures, Mirana, Pantera Capital, Ribbit Capital, Robot Ventures, RockawayX, Semantic Ventures, Triton Capital, Variant",2024-08-01,https://morpho.org,"Morpho Labs operates in sectors such as blockchain, cryptocurrency, and financial services, providing products and services that leverage its expertise in these areas.",Paris,FinTech,Web3,,902498492
Flowdesk,50000000,Series B,"Bpifrance, Cathay Innovation, Eurazeo, Isai, Ledger Cathay Capital, Ripple, Speedinvest",2024-01-18,https://flowdesk.co,"Flowdesk operates in sectors such as cryptocurrency, financial services, and fintech, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,883604647
Essor,50000000,Growth Equity,"C4 Ventures, Declaration Partners, Khosla Ventures, Premji Invest, Target Global, The Raine Group",2024-09-05,https://www.goessor.com,"Essor operates in sectors such as consumer goods, e-commerce, and marketing, providing products and services that leverage its expertise in these areas.",Paris,MarTech,E-commerce & Retail,,892109455
Greenly,48000000,Series B,"Benhamou Global Ventures, Brian Halligan, Energy Impact Partners, Fidelity International Strategic Ventures, Hewlett Packard Enterprise, HSBC, Move Capital, Wind, XAnge",2024-03-20,https://www.greenly.earth/home,"Greenly operates in sectors such as environmental engineering, greentech, and saas, providing products and services that leverage its expertise in these areas.",Paris,SaaS,,,922774963
Elicit Plant,48000000,Series B,"Bpifrance, Carbyne, European Circular Bioeconomy Fund, Sofinnova Partners",2024-11-14,https://www.elicit-plant.com,"Elicit Plant operates in sectors such as agriculture, agtech, and biotechnology, providing products and services that leverage its expertise in these areas.",Vilhonneur,BioTech,AgriTech,,831286455
See You Sun,46000000,,"Banque des Territoires, Demeter",2024-04-29,https://www.seeyousun.fr/,"See You Sun operates in sectors such as environmental consulting and renewable energy, providing products and services that leverage its expertise in these areas.",Rennes,CleanTech,Energy,,824641294
Planity,45000000,Series C,"Alven, Bpifrance Digital Venture, Crédit Mutuel Innovation, Eiffel Investment Group, InfraVia Capital Partners, Revaia",2024-02-20,http://www.planity.com,"Planity operates in sectors such as beauty, fashion, and lifestyle, providing products and services that leverage its expertise in these areas.",Paris,E-commerce & Retail,,,821511128
Agicap,45000000,Series C,AVP,2024-11-12,https://agicap.com,"Agicap operates in sectors such as finance, fintech, and saas, providing products and services that leverage its expertise in these areas.",Lyon,FinTech,SaaS,,823248703
Qovoltis,45000000,Series B,"Andera Partners, Epopée Gestion, Pâris Mouratoglou",2024-10-03,https://www.qovoltis.com/,"Qovoltis operates in sectors such as electric vehicle, mobile apps, and software, providing products and services that leverage its expertise in these areas.",Arcueil,Mobility,,,853420032
OpenAirlines,45000000,,"Eiffel Investment Group, Mirova, The CRPN",2024-11-14,http://openairlines.com,"OpenAirlines operates in sectors such as aerospace, air transportation, and software, providing products and services that leverage its expertise in these areas.",Toulouse,Mobility,SpaceTech & Aerospace,,493038707
UroMems,44000000,Series C,"Arbevel, b2venture, Bpifrance, Crédit Mutuel Innovation, European Innovation Council, Hil-Invent, Supernova Invest, Wellington Partners",2024-06-25,http://uromems.com/,"UroMems operates in sectors such as health care, medical, and medical device, providing products and services that leverage its expertise in these areas.",Grenoble,HealthTech,MedTech,,533670931
Photoroom,43000000,Series B,"Aglaé Ventures, Balderton Capital, Y Combinator",2024-02-27,https://photoroom.com,"Photoroom operates in sectors such as artificial intelligence, generative ai, and machine learning, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,853059384
Pennylane,40000000,Series C,"DST Global, Sequoia Capital",2024-02-07,https://www.pennylane.com,"Pennylane operates in sectors such as accounting, finance, and financial services, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,880265921
VELA,40000000,Series A,"11th Hour Racing, Bpifrance, Crédit Mutuel Impact",2024-09-24,https://vela-transport.com/en,VELA is a company specializing in marine transportation solutions.,Fontaine-française,Mobility,,,947456430
CILcare,40000000,Series A,"Aris Occitanie, Shionogi, Sofilaro, SPRIM Global Investments, SUD PME CROISSANCE, The University of Vermont Health Network",2024-12-04,https://www.cilcare.com,"CILcare operates in sectors such as consulting, health care, and therapeutics, providing products and services that leverage its expertise in these areas.",Montpellier,HealthTech,BioTech,,803146125
Enerdigit,40000000,Growth Equity,"Bpifrance, OCEAN PARTICIPATIONS, Ring Capital",2024-07-12,https://enerdigit.fr/,"Enerdigit operates in sectors such as electronics, energy, and manufacturing, providing products and services that leverage its expertise in these areas.",Nantes,Energy,,,812773539
Essor,40000000,,,2024-01-01,https://www.goessor.com,"Essor operates in sectors such as consumer goods, e-commerce, and marketing, providing products and services that leverage its expertise in these areas.",Paris,MarTech,E-commerce & Retail,,
AQEMIA,38000000,Series A,"Bpifrance Large Venture, Cathay Innovation, Elaia, Eurazeo, Wendel Growth",2024-12-10,http://www.aqemia.com,"AQEMIA operates in sectors such as artificial intelligence, biotechnology, and life science, providing products and services that leverage its expertise in these areas.",Paris,BioTech,Artificial Intelligence,,851519702
Cintoo,37000000,Series B,"AMAVI Capital, Armilar Venture Partners, Partech",2024-11-04,https://cintoo.com/,"Cintoo operates in sectors such as information technology and software, providing products and services that leverage its expertise in these areas.",Sophia Antipolis,Other,,,794581223
Bioptimus,35000000,Seed,"Anthony Sides, Bpifrance, Cathay Innovation, Frst, Headline, Hummingbird Ventures, NJF Capital, Sofinnova Partners, Top Harvest Capital, Waiv",2024-02-20,https://www.bioptimus.com,"Bioptimus operates in sectors such as artificial intelligence, biotechnology, and generative ai, providing products and services that leverage its expertise in these areas.",Paris,BioTech,Artificial Intelligence,,979978095
Abolis Biotechnologies,35000000,,"Business Opportunities for L'Oréal Development, Clay Capital, DeepTech & Climate Fonds, Evonik Venture Capital, ICOS Capital Management, Liberset",2024-09-12,http://abolis.fr/,"Abolis Biotechnologies operates in sectors such as biotechnology, life science, and sustainability, providing products and services that leverage its expertise in these areas.",Évry,BioTech,CleanTech,,801679614
Exoès,35000000,,"Bpifrance, Meridiam",2024-03-27,http://exoes.com/en/,"Exoès operates in sectors such as automotive, energy efficiency, and fuel, providing products and services that leverage its expertise in these areas.",Gradignan,Energy,Mobility,,512584806
Scalinx,34000000,Series B,"BNP Paribas Développement, Bpifrance, GO CAPITAL, NCI Waterstart, Normandie Participations, Thales Group, Unexo",2024-01-10,https://www.scalinx.com/,"Scalinx operates in sectors such as manufacturing, product design, and semiconductor, providing products and services that leverage its expertise in these areas.",Paris,Hardware,,,813872025
Filigran,32300000,Series B,"Accel, Insight Partners, Moonfire Ventures",2024-10-28,https://filigran.io,"Filigran operates in sectors such as cyber security, information technology, and network security, providing products and services that leverage its expertise in these areas.",Paris,Cybersecurity,,,901384479
Inocel,32000000,Series A,,2024-03-22,https://inocel.com,"Inocel operates in sectors such as energy and renewable energy, providing products and services that leverage its expertise in these areas.",Grenoble,CleanTech,Energy,,913584991
BoondManager,32000000,Seed,Expedition Growth Capital,2024-02-27,http://www.boondmanager.com,BoondManager is a company specializing in computer solutions.,Esboz-brest,Other,,,
Calyxia,31500000,Series B,"Astanor Ventures, Bpifrance Large Venture, Lombard Odier Investment Managers",2024-09-05,https://calyxia.com,"Calyxia operates in sectors such as agriculture and chemical, providing products and services that leverage its expertise in these areas.",Bonneuil-sur-marne,AgriTech,,,811974724
Qantev,30000000,Series B,"Elaia, Omnes Capital, Raise Ventures",2024-09-27,https://www.qantev.com,"Qantev operates in sectors such as artificial intelligence, data management, and enterprise software, providing products and services that leverage its expertise in these areas.",Paris,InsurTech,Artificial Intelligence,SaaS,847752789
bsport solution,30000000,Series B,"Base10 Partners, Octopus Ventures, Seed4Soft, Seventure Partners",2024-12-12,http://pro.bsport.io,"bsport solution operates in sectors such as fitness, information technology, and marketing automation, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,Robotics,MarTech,838682011
Neat,30000000,Series A,"Alma Mundi Ventures, Athletico Ventures, ETFS Capital, Hedosophia",2024-09-10,https://www.neat.eu,"Neat operates in sectors such as financial services and insurance, providing products and services that leverage its expertise in these areas.",Bordeaux,InsurTech,FinTech,,
AQEMIA,30000000,Series A,"Bpifrance, Elaia, Eurazeo, Wendel Growth",2024-01-30,http://www.aqemia.com,"AQEMIA operates in sectors such as artificial intelligence, biotechnology, and life science, providing products and services that leverage its expertise in these areas.",Paris,BioTech,Artificial Intelligence,,851519702
Adcytherix,30000000,Seed,"Dawn Biopharma, Pontifax, Pureos Bioventures, RA Capital Management",2024-06-11,https://www.adcytherix.com,"Adcytherix operates in sectors such as biotechnology, oncology, and product design, providing products and services that leverage its expertise in these areas.",Marseille,BioTech,,,987575784
Greenspot,30000000,Growth Equity,"Epopée Gestion, OCCTE",2024-06-25,https://www.greenspot.fr,"Greenspot operates in sectors such as charging infrastructure, electric vehicle, and environmental consulting, providing products and services that leverage its expertise in these areas.",Eysines,Mobility,,,820879021
Devialet,30000000,Growth Equity,Korelya Capital,2024-11-27,https://www.devialet.com/en-eu/,"Devialet operates in sectors such as audio, consumer electronics, and electronics, providing products and services that leverage its expertise in these areas.",Paris,Entertainment,,,502155682
FlexAI,28500000,Seed,"Alpha Intelligence Capital, Better Angle, Bpifrance, Elaia, Frst, Heartcore Capital, Karim Beguir, Motier Ventures, Partech",2024-04-24,https://www.flex.ai/,"FlexAI operates in sectors such as artificial intelligence, information technology, and intelligent systems, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,978139459
Latitude,27000000,Series B,"Blast. Club, Bpifrance, Crédit Mutuel Innovation, Expansion Ventures, Kima Ventures, UI Investissement, Vincent Luciani",2024-01-22,https://www.latitude.eu,"Latitude operates in sectors such as aerospace, satellite communication, and space travel, providing products and services that leverage its expertise in these areas.",Reims,SpaceTech & Aerospace,TravelTech,,850181918
Micropep Technologies,27000000,Series B,"Bpifrance, Fall Line Capital, FMC Ventures, IRDI, Sofinnova Partners, Supernova Invest, Zebra Impact Ventures",2024-07-25,http://micro-pep.com/,"Micropep Technologies operates in sectors such as agriculture, biotechnology, and chemical, providing products and services that leverage its expertise in these areas.",Ramonville-saint-agne,BioTech,AgriTech,,819588427
Fasst,27000000,Series B,"Bpifrance Large Venture, Revaia",2024-11-14,https://www.fasst.io,"Fasst operates in sectors such as consulting, financial services, and information technology, providing products and services that leverage its expertise in these areas.",Angoulême,InsurTech,FinTech,,832017446
Stilla Technologies,26500000,Series C,"BNP Paribas Développement, CLIFF, Idinvest Partners, Illumina Ventures, Kurma Partners, LBO France, Paris-Saclay Seed Fund, Tusholdings, Zhongyuan Yuzi Investment Group",2024-02-22,https://www.stillatechnologies.com/,"Stilla Technologies operates in sectors such as biotechnology, consumer research, and genetics, providing products and services that leverage its expertise in these areas.",Villejuif,BioTech,,,797426376
ENYO Pharma,26000000,Series C,"Andera Partners, Bpifrance InnoBio, Bpifrance Large Venture, Morningside, OrbiMed",2024-01-03,http://www.enyopharma.com/,"ENYO Pharma operates in sectors such as biopharma, biotechnology, and medical, providing products and services that leverage its expertise in these areas.",Lyon,BioTech,,,799831011
YesWeHack,26000000,Series C,"Adelie, Bpifrance, Eiffel Investment Group, Open CNP, Seventure Partners, Wendel",2024-06-11,https://yeswehack.com,"YesWeHack operates in sectors such as cyber security, information technology, and security, providing products and services that leverage its expertise in these areas.",Paris,Cybersecurity,,,814037214
Materrup,26000000,Series A,"AQUITI Gestion, Argiduna Capital, Eurazeo, European Innovation Council and SMEs Executive Agency, IRDI SORIDEC Gestion, UI Investissement",2024-06-20,https://www.materrup.com,"Materrup operates in sectors such as building material, construction, and industrial, providing products and services that leverage its expertise in these areas.",Saint-geours-de-maremne,PropTech,,,842959249
Stoïk,25000000,Series B,"Alven, Andreessen Horowitz, Anthemis, Cyber Integrity Capital, Munich Re Ventures, Opera Tech Ventures, Tokio Marine",2024-10-15,https://stoik.com,"Stoïk operates in sectors such as cloud security, cyber security, and insurance, providing products and services that leverage its expertise in these areas.",Paris,InsurTech,Cybersecurity,,900293887
imagino,25000000,Series A,"Cathay Innovation, henQ",2024-06-03,https://www.imagino.com,"imagino operates in sectors such as data management, information technology, and software, providing products and services that leverage its expertise in these areas.",Cachan,Other,,,N/a
AGRILIFE STUDIO,25000000,Series A,"Bpifrance, Credit Mutuel Alliance Federale, Crédit Mutuel Arkéa",2024-01-29,https://agrilifestudio.com/en,"AGRILIFE STUDIO operates in sectors such as agriculture and agtech, providing products and services that leverage its expertise in these areas.",Palaiseau,AgriTech,,,921116083
Payflows,25000000,Series A,"Balderton Capital, Headline, Motier Ventures, Pathlight Ventures, Ribbit Capital, The Twenty Minute VC",2024-04-22,https://www.payflows.io/,"Payflows operates in sectors such as financial services, fintech, and payments, providing products and services that leverage its expertise in these areas.",Paris,FinTech,,,912610649
Brenus Pharma,25000000,Series A,"Angelor, Crédit Agricole Centre-Est, Investsud, Jacques Gardette, Meusinvest (Noshaq), Stephane Legastelois, UI Investissement",2024-09-18,https://www.brenus-pharma.com/,"Brenus Pharma operates in sectors such as biotechnology, health care, and life science, providing products and services that leverage its expertise in these areas.",Issoire,HealthTech,BioTech,,802549030
Nabla,24000000,Series B,"Cathay Innovation, ZEBOX Ventures",2024-01-05,https://www.nabla.com,"Nabla operates in sectors such as artificial intelligence, electronic health record, and health care, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,Artificial Intelligence,,838878155
La Fourche,24000000,,"Anterra Capital, Auraé, ERVE",2024-02-29,https://lafourche.fr/,"La Fourche operates in sectors such as e-commerce, internet, and organic, providing products and services that leverage its expertise in these areas.",La Courneuve,E-commerce & Retail,,,839765062
May Health,23000000,Series B,"Avestria Ventures, Bpifrance, Kidron, Sofinnova Partners, Trill Impact",2024-05-13,https://mayhealth.com/,"May Health operates in sectors such as health care and medical device, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,MedTech,,831705751
NeoCem,23000000,Series A,"Bpifrance, CBGreen, CIC Nord Ouest, Crédit Agricole Nord de France, Finorpa, La Banque Postale, Nord France Amorcage, Rev3",2024-01-15,https://www.neocem.com/,"NeoCem operates in sectors such as building material, cleantech, and construction, providing products and services that leverage its expertise in these areas.",Hallennes-lez-haubourdin,CleanTech,,,900399908
Resilience,23000000,,"Cathay Innovation, Picus Capital, Red River West, Seaya, Singular",2024-05-21,https://resilience.care,"Resilience operates in sectors such as apps, health care, and oncology, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,,,893834713
La Vie,22972470,,"Sparkfood, Zintinus",2024-10-04,https://www.laviefoods.com/,"La Vie operates in sectors such as food and beverage, food processing, and meat and poultry, providing products and services that leverage its expertise in these areas.",Paris,Mobility,FoodTech,,853040186
Oncodesign Services,22000000,Growth Equity,Eurazeo,2024-01-15,http://oncodesign-services.com/,Oncodesign Services is a company specializing in biotech solutions.,Dijon,BioTech,,,399693811
900.care,21000000,Series A,"Blue Oceans Partners, Founders Future, Lombard Odier, White Star Capital",2024-03-26,https://900.care/,"900.care operates in sectors such as consumer goods and personal health, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,E-commerce & Retail,,852949148
Jus Mundi,20000000,Series B,"Acton Capital, C4 Ventures, FJ Labs, True Global Ventures (TGV)",2024-08-07,https://jusmundi.com/,"Jus Mundi operates in sectors such as artificial intelligence, internet, and legal, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,LegalTech,,834491474
Supervizor,20000000,Series A,"Adelie Capital, Isai, La Maison Partners, NewAlpha Asset Management VC, Orange Ventures, Wille Finance",2024-05-28,https://www.supervizor.com/,"Supervizor operates in sectors such as accounting, information technology, and software, providing products and services that leverage its expertise in these areas.",Paris,Other,,,508552411
Adaptive ML,20000000,Series A,"Databricks Ventures, Dylan Patel, Factorial, Factorial Capital, Financiere Saint James, ICONIQ Capital, Index Ventures, IRIS, Motier Ventures, Olivier Pomel, Tri Dao, Xavier Niel",2024-03-11,https://www.adaptiveml.co,"Adaptive ML operates in sectors such as a/b testing, artificial intelligence, and information technology, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,,,931240394
Beyond Aero,20000000,Series A,"2100 Ventures, 7percent Ventures, Amitis Capital, Arash Ferdowsi, Bpifrance, Constructor Capital, Giant Ventures, Initialized Capital, Nathan Blecharczyk, Teampact ventures",2024-10-25,https://www.beyond-aero.com,"Beyond Aero operates in sectors such as aerospace, air transportation, and manufacturing, providing products and services that leverage its expertise in these areas.",Toulouse,Mobility,SpaceTech & Aerospace,,891870727
Obo-World,20000000,Seed,Momentum MENA,2024-10-15,https://obo-world.com,"Obo-World operates in sectors such as artificial intelligence, human resources, and recruiting, providing products and services that leverage its expertise in these areas.",Annecy,Artificial Intelligence,,,
GIREVE,20000000,,"Banque des Territoires, Compagnie Nationale du Rhône - CNR, Demeter, Électricité de France, Enedis, Partech, Renault Group",2024-06-02,https://www.gireve.com,"GIREVE operates in sectors such as b2b, charging infrastructure, and infrastructure, providing products and services that leverage its expertise in these areas.",Léchère,Mobility,,,794519645
STid,20000000,,Capital Croissance,2024-06-24,https://stid.com/fr/,"STid operates in sectors such as electronics and technical support, providing products and services that leverage its expertise in these areas.",Gréasque,Hardware,,,408 472 751
Reforest'Action,20000000,,"Blisce, Eiffel Investment Group",2024-06-25,https://www.reforestaction.com,"Reforest'Action operates in sectors such as environmental consulting, environmental engineering, and forestry, providing products and services that leverage its expertise in these areas.",Rueil-malmaison,CleanTech,,,494438146
Wecasa,19000000,Series B,"Blisce, Isai, IXO Private Equity, Serena",2024-12-05,https://www.wecasa.fr,"Wecasa operates in sectors such as home services, internet, and marketplace, providing products and services that leverage its expertise in these areas.",Paris,E-commerce & Retail,,,822686788
NetZero,18000000,Series B,STOA,2024-03-27,https://netzero.green/,NetZero is a company specializing in renewable energy solutions.,Paris,CleanTech,Energy,,893011056
Polar Analytics,18000000,Series A,"Chalfen Ventures, Frst, Point Nine",2024-11-12,https://www.polaranalytics.com,"Polar Analytics operates in sectors such as analytics, artificial intelligence, and e-commerce, providing products and services that leverage its expertise in these areas.",Paris,SaaS,Artificial Intelligence,E-commerce & Retail,877641365
Biomemory,18000000,Series A,"Adnexus, Blast. Club, Bpifrance, Crédit Mutuel Innovation, Next Sequence, Paris Business Angels, Prunay",2024-12-09,https://www.biomemory.com/,"Biomemory operates in sectors such as biotechnology, data center, and data storage, providing products and services that leverage its expertise in these areas.",Paris,BioTech,,,901036848
C12 Quantum Electronics,18000000,,"360 Capital, BNP Paribas Développement, Bpifrance, EIC Accelerator, Varsity, Verve Ventures",2024-06-20,https://www.c12qe.com/,"C12 Quantum Electronics operates in sectors such as machine learning, nanotechnology, and product design, providing products and services that leverage its expertise in these areas.",Paris,Artificial Intelligence,DeepTech,,880700596
Kiln,17000000,Series A,"1kx, Crypto.com, IOSG Ventures, KXVC, LBank, Wintermute Ventures",2024-01-18,https://www.kiln.fi/,Kiln is a company providing innovative solutions in its industry.,Paris,Other,,,839230125
Brightflow,16500000,Series A,"BNP Paribas Développement, GO CAPITAL, Karista, Majycc Innovation Santé, UI Investissement, VIVES Funds",2024-09-10,https://brightflow.com/,"Brightflow operates in sectors such as health care, medical, and medical device, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,MedTech,,881016174
Energo,16500000,Series A,"Credit Mutuel Alliance Federale, Gaztransport & Technigaz, Nord France Amorcage",2024-05-16,https://energo.green,Energo is a company specializing in renewable energy solutions.,Loos,CleanTech,Energy,,838969541
Kinvent,16000000,Series B,"Eurazeo, Raphaël Varane, Sofilaro, Uni.Fund",2024-01-18,http://www.k-invent.com,"Kinvent operates in sectors such as big data, bioinformatics, and biometrics, providing products and services that leverage its expertise in these areas.",Montpellier,HealthTech,,,829348747
Eyco,16000000,Series A,"Bpifrance, CAAP Creation, Région Sud Investissement",2024-05-17,https://www.eyco.eu/,"Eyco operates in sectors such as electronics, industrial, and manufacturing, providing products and services that leverage its expertise in these areas.",Trets,Hardware,,,887922748
Dfns,16000000,Series A,"ADQ, Bpifrance, Frederic Montagnon, Further Ventures, Hashed, Motier Ventures, Motive Partners, Semantic Ventures, Susquehanna International Group, White Star Capital, Wintermute Ventures, Yolo Investments",2024-12-18,https://www.dfns.co,"Dfns operates in sectors such as blockchain, cloud infrastructure, and cryptocurrency, providing products and services that leverage its expertise in these areas.",Paris,FinTech,Web3,,888176575
Raidium,16000000,Seed,"Debiopharm Group, European Innovation Council and SMEs Executive Agency, Founders Future, Galion.exe, Kurma Partners, Newfund, Techmind",2024-11-28,https://raidium.eu,"Raidium operates in sectors such as artificial intelligence, clinical trials, and computer vision, providing products and services that leverage its expertise in these areas.",Paris,HealthTech,Artificial Intelligence,BioTech,909501991
Lactips,16000000,,"Blue Oceans Partners, BNP Paribas Développement, Bpifrance, GO CAPITAL, Sogive, Swen Capital Partners",2024-11-27,http://lactips.com/en/home-lactips-en,"Lactips operates in sectors such as chemical, industrial, and manufacturing, providing products and services that leverage its expertise in these areas.",Saint-jean-bonnefonds,Hardware,,,801500018
Deblock,15300000,Series A,"Hoxton Ventures, Headline, Founders Future, 20VC, Chalfen Ventures",2024-11-15,https://deblock.com/,"Deblock operates in sectors such as web3 and fintech, providing products and services that leverage its expertise in these areas.",Lille,FinTech,Web3,,948264163
Antidot,15000000,Series B,"Crédit Mutuel Innovation, Kennet Partners, Ventech",2024-02-01,http://www.antidot.net,"Antidot operates in sectors such as big data, data integration, and semantic search, providing products and services that leverage its expertise in these areas.",Lyon,Other,,,
Fluid Topics,15000000,Series B,"Crédit Mutuel Innovation, Kennet Partners, Ventech",2024-04-03,https://www.fluidtopics.com,"Fluid Topics operates in sectors such as content, customer service, and publishing, providing products and services that leverage its expertise in these areas.",Lyon,Other,,,
Wise Integration,15000000,Series B,"Angels for Greentech, BNP Paribas, Créazur, Crédit Agricole Alpes Development, imec.xpand, Région Sud Investissement, Supernova Invest",2024-02-29,https://wise-integration.com,"Wise Integration operates in sectors such as energy efficiency, manufacturing, and semiconductor, providing products and services that leverage its expertise in these areas.",Hyères,Energy,Hardware,,
Inbolt,15000000,Series A,"BNP Paribas Développement, Bpifrance, EXOR N.V., MIG Capital, SOSV, Yann Fleureau",2024-09-19,https://www.inbolt.com,"Inbolt operates in sectors such as 3d technology, artificial intelligence, and computer vision, providing products and services that leverage its expertise in these areas.",Paris,Robotics,Artificial Intelligence,,853337665
GREENERWAVE,15000000,Series A,"BNP Paribas Développement, Bpifrance, Intelsat, Plastic Omnium, Safran Corporate Ventures",2024-02-01,http://www.greenerwave.com,"GREENERWAVE operates in sectors such as hardware and internet, providing products and services that leverage its expertise in these areas.",Paris,Hardware,,,814901872
Enalees,15000000,Series A,Bpifrance,2024-07-27,https://www.enalees.com/,"Enalees operates in sectors such as biotechnology, health diagnostics, and veterinary, providing products and services that leverage its expertise in these areas.",Évry,HealthTech,MedTech,BioTech,815288469
