name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
Upngrade,Montpellier,FinTech,startup,Seed,,,,http://upngrade.fr/,Plateforme web permettant aux utilisateurs de financer des formations grace à leurs expériences professionnelles,Seed,Jeremie LR,2024-01-01,,,
Touch Sensity,Pessac,Hardware,startup,Seed,,EUR,,https://touchsensity.com/,Touch Sensity is an information technology company that specializes in the fields of IoT and sensors.,Seed,,2024-01-01,,,
HOLOPHONIX,Paris,Entertainment,startup,Seed,704000,EUR,776978,https://holophonix.xyz/,"HOLOPHONIX develops an extremely advanced real-time immersive audio environment, perfectly optimized for the performing arts field.",Seed,,2024-01-01,,,
realiz,La Colle-sur-loup,"FinTech, PropTech",startup,Seed,320000,EUR,353172,https://www.realiz.io/,End to end plateform to enable investors to have access to global real estate investments,Seed,,2024-01-01,,,
Emobot,Paris,MedTech,startup,Seed,,,,https://www.emobot.fr,Emobot develops medical devices to monitor and detect mood disorders like depression.,Seed,SkyDeck Berkeley,2024-01-01,,,
SEEQLE,Nancy,"AI & Machine Learning, MarTech",startup,Seed,780000,EUR,860857,https://www.seeqle.com,AI talent acquisition platform combining programmatic job ads and pre-screening to automate attraction and qualification at scale,Seed,Tudigo,2024-01-01,,,
LN Markets,Paris,FinTech,startup,Seed,,,,https://lnmarkets.com,LN Markets offers bitcoin derivatives trading exchange platform.,Seed,Concentric,2024-01-03,,,
ENYO Pharma,Lyon,BioTech,startup,Series C,26000000,EUR,28407073,http://www.enyopharma.com/,"ENYO Pharma is a biopharmaceutical company based in Lyon, France.",Late Stage Venture,"Andera Partners, Bpifrance InnoBio, Bpifrance Large Venture, Morningside, OrbiMed",2024-01-03,,,
Queen Consolidated,Courbevoie,Other,startup,Pre-Seed,,,,,We Are A Big Corporation That Owns Multiple Linkedin Newspapers,Seed,Dohme Global Group,2024-01-04,,,
Nabla,Paris,HealthTech,startup,Series B,24000000,USD,24000000,https://www.nabla.com,Nabla is a healthcare tech company providing AI tools that generate real-time clinical notes to support clinicians.,Early Stage Venture,"Cathay Innovation, ZEBOX Ventures",2024-01-05,,,
Phocea DC,Marseille,SaaS & Enterprise,startup,Seed,5000000,EUR,5474868,https://www.phocea-dc.com,"Phocea DC is a self-sufficient, secure, and environmentally friendly option for hosting IT in a data center.",Seed,Reflexion Capital,2024-01-08,,,
Corma,Paris,SaaS & Enterprise,startup,Pre-Seed,,,,https://www.corma.io/,"Corma streamlines application access, automates the review process, and effectively reduces software expenses.",Seed,Plug and Play,2024-01-09,,,
Ta-da,Metz,"Web3, E-commerce & Retail",startup,Seed,3200000,EUR,3498166,https://ta-da.io,Ta-da is an AI data marketplace that innovates crowdsourcing technique using blockchain technology to collect and validate data.,Seed,"Alpha Protocol Ventures, GBV Capital, Let's Go Ventures, Morningstar Ventures, MultiversX, NxGen.xyz, Spark Digital Capital, X Ventures",2024-01-09,,,
Hiboo,Paris,SaaS & Enterprise,startup,Series A,9300000,EUR,10166546,https://www.hiboo.io/,"The all-in-one tool for your equipment data, operations, and maintenance",Early Stage Venture,"Chausson Finance, Citizen Capital, Emerald Technology Ventures, Future Industry Ventures, Isai, Nabtesco Technology Ventures, Redstone.VC, Ring Capital",2024-01-09,,,
Sportyneo,Villeneuve-de-berg,FinTech,startup,Seed,1600000,EUR,1755859,https://sportyneo.com,Sportyneo enables licensees to save their expenses by allowing them to pay up to ten times the cost of their annual sports payments.,Seed,"Groupama, Obiz",2024-01-10,,,
Illumo Robotics,Toulouse,"Robotics, E-commerce & Retail",startup,Seed,,,,https://www.illumo.ai/en/illumo-robotics-english/,Boost profits with fast and flexible picking robotics for e-commerce. Our tech brings speed and robustness to fulfillment—ready to scale?,Seed,Encomenda VC,2024-01-10,,,
Scalinx,Paris,"DeepTech, Hardware",startup,Series B,34000000,EUR,37312000,https://www.scalinx.com/,Scalinx operates as a semiconductor company that designs and industrializes chips for converting the analog electrical signal.,Early Stage Venture,"BNP Paribas Développement, Bpifrance, GO CAPITAL, NCI Waterstart, Normandie Participations, Thales Group, Unexo",2024-01-10,,,
Minitrucks Robotics,Portes-lès-valence,Robotics,startup,Seed,1500000,EUR,1647367,https://www.minitrucks.fr,Minitrucks Robotics offers a solution for transporting and managing heavy loads for manufacturers and craftspeople.,Seed,Demeter,2024-01-11,,,
Learnify,Paris,Web3,startup,Seed,,,,https://learnify.xyz,Gamified web3 educational platform,Seed,yard[hub],2024-01-14,,,
Lynx Educate,Paris,SaaS & Enterprise,startup,Seed,1500000,USD,1500000,https://www.lynxeducate.com,Lynx Educate is a career development solution to connect workers with education for their next role.,Seed,Southern New Hampshire University,2024-01-15,,,
omena,Paris,HealthTech,startup,Seed,800000,EUR,875597,https://www.omena.app/,Oména is working on a digital handbook to assist women as they transition through menopause.,Seed,"Alexandre Lebrun, Fair/e, Marie Outtier, Mozza Business Angels, Simon Dawlat",2024-01-15,,,
Campsider,Annecy,E-commerce & Retail,startup,Seed,2100000,EUR,2298443,https://www.campsider.com,Campsider is a community market that provides second-hand outdoor sports equipment.,Seed,"Fair equity, Founders Future, Inovexus, Machame, Xavier Le Guen",2024-01-15,,,
Aligneurs Français,Paris,MedTech,startup,Series A,,,,https://praticiens.aligneursfrancais.com,"Aligneurs Français manufactures orthodontic aligners, offering invisible dental trays for ideal teeth alignment.",Early Stage Venture,Label Capital,2024-01-15,,,
NeoCem,Hallennes-lez-haubourdin,"DeepTech, PropTech",startup,Series A,23000000,EUR,25173423,,"NeoCem creates, manufactures, and promotes a variety of low-carbon cements for the building industry.",Early Stage Venture,"Bpifrance, CBGreen, CIC Nord Ouest, Crédit Agricole Nord de France, Finorpa, La Banque Postale, Nord France Amorcage, Rev3",2024-01-15,,,
Electra,Paris,Mobility & Transportation,startup,Series B,304000000,EUR,332726982,https://www.go-electra.com,Electra is an electric vehicle charging company that specializes in deploying and operating charging points for electric vehicles.,Early Stage Venture,"574 Invest, Bpifrance, Eurazeo, PGGM Investments, Rive Private Investment, Serena",2024-01-15,,,
La Fourche,La Courneuve,"E-commerce & Retail, FoodTech",startup,Series B,5500000,USD,5500000,https://lafourche.fr/,La Fourche is a subscription-based platform that offers discounts on everyday organic products.,Early Stage Venture,"Anterra Capital, Eight Roads Ventures, Five Seasons Ventures, Founders Future, Heartcore Capital",2024-01-15,,,
SUN ZU Lab,Metz,Web3,startup,Seed,1700000,EUR,1849356,https://sunzulab.com,SUN ZU Lab is an independent provider of quantitative analytics for crypto professionals.,Seed,"Elaia, FunFair Ventures, Tim Draper",2024-01-16,,,
AMPHITRITE,Paris,"SpaceTech & Aerospace, AI & Machine Learning",startup,Seed,1200000,EUR,1305428,https://www.amphitrite.fr,Harnessing Satellites & AI we provide reliable Ocean Data to make the right decisions at sea.,Seed,"Atlantic, Bpifrance, SpaceFounders",2024-01-16,,,
Phospho,Paris,AI & Machine Learning,startup,Pre-Seed,1700000,USD,1700000,https://phospho.ai,phospho is an AI startup that provides developers and businesses access to generative AI solutions,Seed,"Elaia, Julien Chaumond, Mehdi Ghissassi, Sébastien Lafond, Y Combinator",2024-01-17,,,
napp,Paris,FoodTech,startup,Pre-Seed,,,,https://www.bon-napp.com/,Napp est le premier service qui vous permet de savoir ce que vous allez vous mettre sous la dent.,Seed,,2024-01-17,,,
Upscalers,Paris,FinTech,startup,Pre-Seed,,,,https://www.upscalers.club/,Upscalers is a community of operating angel investors joining forces to co-invest in the world's most promising tech startups,Seed,Yes VC,2024-01-17,,,
Heex Technologies,Paris,"AI & Machine Learning, SaaS & Enterprise",startup,Seed,6000000,EUR,6529028,https://heex.io,Smart Data for AI development.,Seed,"Bpifrance, Karista, SHIFT Invest, Techstars",2024-01-18,,,
Crealo,Neuilly-sur-seine,LegalTech,startup,Seed,14100000,MAD,1414847,https://www.crealo.app/,Crealo is a copyright management company that offers copyright and royalty solutions.,Seed,"CDG Invest, Evolem Start, Kima Ventures, Super Capital VC",2024-01-18,,,
Genevos,Lagord,Energy,startup,Seed,2500000,EUR,2720428,https://genevos.com,Genevos specializes in integrating hydrogen and fuel cell systems in the maritime industry.,Seed,GO CAPITAL,2024-01-18,,,
Sora,Paris,"AI & Machine Learning, PropTech",startup,Seed,4000000,EUR,4352685,https://sora.space/en,Sora aims to transform commercial real estate by providing a turnkey solution that unites an abundance of vacant offices.,Seed,"Daphni, Kernel Investissements",2024-01-18,,,
Temo,Vannes,"Mobility & Transportation, Hardware",startup,Series A,6000000,EUR,6529028,https://www.temofrance.com/en_GB,"TEMO manufactures a variety of portable, easy-to-install electric motors for various types of small craft.",Early Stage Venture,"At One Ventures, Blueprint Partners, Bpifrance, Jean-Christophe Kugler",2024-01-18,,,
Kiln,Paris,SaaS & Enterprise,startup,Series A,17000000,USD,17000000,https://www.kiln.fi/,Kiln creates an enterprise-level pledge platform and provides one-click pledge services for encrypted assets.,Early Stage Venture,"1kx, Crypto.com, IOSG Ventures, KXVC, LBank, Wintermute Ventures",2024-01-18,,,
Kinvent,Montpellier,MedTech,startup,Series B,16000000,EUR,17410740,http://www.k-invent.com,Assessment and training technologies in rehabilitation and sports biomechanics producing innovative measuring and medical device,Early Stage Venture,"Eurazeo, Raphaël Varane, Sofilaro, Uni.Fund",2024-01-18,,,
Flowdesk,Paris,"FinTech, Web3",startup,Series B,50000000,USD,50000000,https://flowdesk.co,Flowdesk is a digital asset trading company that combines financial and crypto expertise to connect digital assets with global liquidity.,Early Stage Venture,"Bpifrance, Cathay Innovation, Eurazeo, Isai, Ledger Cathay Capital, Ripple, Speedinvest",2024-01-18,,,
Live Me Up,Lille,"E-commerce & Retail, Entertainment",startup,Seed,1600000,EUR,1744725,https://www.livemeup.io/,Live Me Up is a unified live streaming platform in true real-time for live shopping sessions and shoppable videos.,Seed,Bpifrance,2024-01-19,,,
Chateaushi,Paris,TravelTech,startup,Seed,,,,https://www.chateaushi.com/,A private members club dedicated to the preservation and transformation of historic monuments,Seed,Pascal Gauthier,2024-01-20,,,
Ingraalys,Montpellier,ClimateTech,startup,Pre-Seed,300000,EUR,326353,,Ingraalys Studies on genomic and cellular plasticity during development and aging.,Seed,AxLR,2024-01-22,,,
CERES BRAIN Therapeutics,Paris,BioTech,startup,Seed,6000000,EUR,6527060,https://www.ceres-brain.com/,CERES BRAIN Therapeutics rescue neurons to treat brain diseases.,Seed,"ANJAC SAS, Thomas Joudinaud",2024-01-22,,,
Latitude,Reims,SpaceTech & Aerospace,startup,Series B,27000000,EUR,29371770,https://www.latitude.eu,"Latitude, formerly known as Venture Orbital Systems, is a space technology company that offers launch solution for smallsats",Early Stage Venture,"Blast. Club, Bpifrance, Crédit Mutuel Innovation, Expansion Ventures, Kima Ventures, UI Investissement, Vincent Luciani",2024-01-22,,,
HEPHAISTOS-Pharma,Orsay,BioTech,startup,Seed,4500000,EUR,4885898,https://hephaistos-pharma.fr/,Hephaistos Pharma is a biotech company developing oncology treatments.,Seed,"Business Angels Santé, Elaia, Femmes Business Business Angels, Fournier-Majoie, Meusinvest (Noshaq), XISTA Science Ventures",2024-01-23,,,
Beedeez,Paris,SaaS & Enterprise,startup,Series A,8000000,EUR,8686041,https://www.beedeez.com/en,Beedeez is a social learning platform that helps companies grow by transforming teams into learning communities.,Early Stage Venture,"Arkea Capital Investissement, Swen Capital Partners, Wille Finance",2024-01-23,,,
Mipise,Paris,"FinTech, SaaS & Enterprise",startup,Series A,6000000,EUR,6514531,https://www.mipise.com/fr,MIPISE is the creation of white-label Crowdfunding platforms.,Early Stage Venture,,2024-01-23,,,
Aldoria,Toulouse,SpaceTech & Aerospace,startup,Series A,10000000,EUR,10857551,https://www.aldoria.com,"Aldoria collects, processes, and uses space situational awareness data to safeguard important assets in space.",Early Stage Venture,"Bpifrance, European Innovation Council, Expansion Ventures, SpaceFounders, Starquest Capital, Wind",2024-01-23,,,
Prolong,Paris,"SaaS & Enterprise, E-commerce & Retail",startup,Pre-Seed,1000000,EUR,1088130,https://prolong.io,"Prolong created a SaaS platform that enables brands and retailers to launch, trial, and scale white label maintenance and repair services.",Seed,"AFI Ventures, Imagination Machine",2024-01-24,,,
Allaw,Nantes,LegalTech,startup,Pre-Seed,547000,USD,547000,https://allaw.fr,"Allaw is the first intermediation platform between legal professionals (lawyers, notaries, court commissioners) and individuals.",Seed,,2024-01-25,,,
Acwa Robotics,Bastia,"Robotics, CleanTech",startup,Seed,4800000,EUR,5205904,https://www.acwa-robotics.com,Acwa Robotics is a company that develops amphibious autonomous devices to manage clean water infrastructures globally.,Seed,"Banque des Territoires, CAAP Creation, Calao Finance, FMG Circular Invest, Région Sud Investissement, UI Investissement",2024-01-25,,,
Wise Trail Running,Annecy-le-vieux,E-commerce & Retail,startup,Seed,1000000,EUR,1084563,https://en.wisetrailrunning.com,Wise Trail Running is an online retailer and designer of environmentally friendly apparel and equipment for trail and ultra-trail runs.,Seed,"SAMBA, Stéphane Distinguin, Xavier Haulet",2024-01-25,,,
Komu,Biarritz,MarTech,startup,Business Angel,75000,EUR,81258,https://contestio.fr,"Contestio allows brands to create, customise and manage a community engagement tab that integrates directly into their website.",Seed,,2024-01-29,,,
Klava Innovation,Paris,"MedTech, DeepTech",startup,Seed,1000000,EUR,1083445,https://klava-innovation.com,Klava Innovation is a deeptech/medtech startup that helps millions of individuals with addictions by merging digital technologies.,Seed,Business Angels’ Bay Invest,2024-01-29,,,
Agrilife Studio,Palaiseau,AgriTech,startup,Series A,25000000,EUR,27086119,https://agrilifestudio.com/en,Agrilife Studio is a startup studio focuses on agriculture and environment.,Early Stage Venture,"Bpifrance, Credit Mutuel Alliance Federale, Crédit Mutuel Arkéa",2024-01-29,,,
Welfaire,Issy-les-moulineaux,"HealthTech, FinTech",startup,Seed,3000000,EUR,3252903,https://www.welfaire.com,Welfaire is an insurance and health insurance startup for the self-employed.,Seed,"Daphni, Founders Future, Kima Ventures, Purple",2024-01-30,,,
WeSur,Paris,FinTech,startup,Seed,1000000,EUR,1084301,https://www.wesur.fr,WeSur is an innovative platform for insurance advice and distribution,Seed,,2024-01-30,,,
Climbing District,Paris,Other,startup,Series A,10000000,EUR,10843012,http://www.climbingdistrict.com/,"Climbing District is a training spot for climbing, exercising, and going to the gym.",Early Stage Venture,"123 Investment Managers, Pleiade Venture",2024-01-30,,,
AQEMIA,Paris,"BioTech, DeepTech",startup,Series A,30000000,EUR,32529035,http://www.aqemia.com,"Aqemia accelerates drug discovery using quantum physics and AI, generating novel drug candidates without experimental data.",Early Stage Venture,"Bpifrance, Elaia, Eurazeo, Wendel Growth",2024-01-30,,,
Lobster Protocol,Clichy,SaaS & Enterprise,startup,Pre-Seed,300000,USD,300000,https://www.lobster-protocol.com,Lobster Protocol is a software development that is 100% automated by multi-protocol strategies.,Seed,"50 Partners, Benjamin Dangla, Bertrand Diard, HyperNest, Igor LILIC, Nicolas Bacca, Philippe Smolders",2024-01-31,,,
Twin,Paris,"SaaS & Enterprise, AI & Machine Learning",startup,Pre-Seed,3000000,USD,3000000,https://twin.so,"Twin Labs, offer an automated tool for repetitive operations, such as onboarding new staff to all internal systems.",Seed,"Betaworks, Charles Gorintin, Clem Delangue, Factorial Capital, Florian Douetteau, Fresh Ventures, Irwan Bello, Mehdi Ghissassi, Motier Ventures, Olivier Pomel, Pareto Holdings, Philippe Corrot, Quentin Nickmans, Rand Hindi, Rodolphe Saadé, Romain Huet, Romuald Elie, Thibaud Elziere, Thomas Wolf, Yan-David Erlich",2024-01-31,,,
Panopli,Saint-ouen,E-commerce & Retail,startup,Series A,3000000,EUR,3241337,https://panopli.co,Panopli is a simple and responsible customization service that makes it easy to manage goodies and team clothes.,Early Stage Venture,"Bpifrance, The Moon Venture",2024-01-31,,,
Linc,Colonne,"SaaS & Enterprise, AI & Machine Learning",startup,Business Angel,,,,https://linc.fr,Linc offers data retrieval and analysis services for businesses.,Seed,Antoine Fabre,2024-02-01,,,
FlyCup,Paris,"HealthTech, E-commerce & Retail",startup,Business Angel,150000,EUR,163116,https://flycup-packaging.com/en,"FlyCup is a reusable, non-absorbent menstrual cup made of BPA-free medical grade silicon.",Seed,Tony Parker,2024-02-01,,,
LinkCy,Paris,FinTech,startup,Seed,,,,https://linkcy.io/,LinkCy is the white label banking solution that provides additional financial services.,Seed,,2024-02-01,,,
Stern Tech,La Celle-saint-cloud,"HealthTech, AI & Machine Learning",startup,Seed,1604000,EUR,1744250,https://stern.tech,Caring for Lives with AI and Human Knowledge,Seed,"AAPS AVOCATS, Audrey Guazzone, Bpifrance, Expaceo, François Segot, Google for Startups, Julien Boyer, Pierre Mazières, Réseau Entreprendre, Trebeyou",2024-02-01,,,
GREENERWAVE,Paris,Hardware,startup,Series A,15000000,EUR,16311564,http://www.greenerwave.com,We are aiming to change the world by helping every customer to always have a good wireless indoor connection,Early Stage Venture,"BNP Paribas Développement, Bpifrance, Intelsat, Plastic Omnium, Safran Corporate Ventures",2024-02-01,,,
Antidot,Lyon,Mobility & Transportation,startup,Series B,15000000,EUR,16311564,http://www.antidot.net,Antidot is a content delivery platform company that addresses the problem of disseminating knowledge.,Early Stage Venture,"Crédit Mutuel Innovation, Kennet Partners, Ventech",2024-02-01,,,
Webyn,Bois-colombes,SaaS & Enterprise,startup,Seed,1000000,EUR,1074120,https://www.webyn.ai,"SaaS, Conversion Optimization,",Seed,Tomcat,2024-02-05,,,
Naboo,Paris,"TravelTech, SaaS & Enterprise",startup,Seed,7500000,EUR,8055897,https://naboo.app,Naboo provides a platform for planning and booking corporate offsite events.,Seed,"Better Angle, CapHorn Invest, Isai, Kima Ventures, MAIF Avenir",2024-02-05,,,
Guided Energy,Paris,"Mobility & Transportation, Energy",startup,Seed,5200000,USD,5200000,https://guided.energy/,Guided Energy is a platform for fleets to charge and operate their electric vehicles.,Seed,"Better Angle, Dynamo, Michael Rolle, Nico Rosberg, No Label Ventures, Sequoia Capital",2024-02-06,,,
Starfish Bioscience,Bordeaux,"BioTech, AgriTech",startup,Seed,900000,EUR,968140,https://www.starfishbio.com/,Starfish Bioscience focuses on the innovation and development of microbiological solutions for agriculture and viticulture.,Seed,Seventure Partners,2024-02-06,,,
Tangara Energy,Paris,"AI & Machine Learning, LegalTech",startup,Pre-Seed,,,,http://www.tangara-app.com/,Tangara Energy is an artificial intelligence co-pilot designed to help accelerate contract and claims management.,Seed,Plug and Play,2024-02-07,,,
Pennylane,Paris,FinTech,startup,Series C,40000000,EUR,43101823,https://www.pennylane.com,"Pennylane is an accounting and financial management platform centralising accounting, invoicing, cash flow tracking, and expense workflows.",Late Stage Venture,"DST Global, Sequoia Capital",2024-02-07,,,
Beink Dream,Paris,AI & Machine Learning,startup,Pre-Seed,500000,EUR,538883,https://www.beink.fr/,Beink Dream offers a collaborative AI-powered innovation solution that is adaptable to all platforms.,Seed,Kelly Massol,2024-02-08,,,
Jow,Paris,"Mobility & Transportation, E-commerce & Retail, FoodTech",startup,Series A,13000000,USD,13000000,https://www.jow.fr/,"Jow automates grocery shopping based on recipes, directly adding items for pickup or delivery.",Early Stage Venture,"Ambel, Eurazeo, Headline, Northzone",2024-02-08,,,
Pixee Medical,Besançon,"MedTech, AI & Machine Learning",startup,Series B,14000000,EUR,15088711,https://www.pixee-medical.com/,Pixee Medical is a manufacturing company that produces computer-assisted surgery solutions using computer vision and AI technologies.,Early Stage Venture,"Business Angelor, Bpifrance, Innovacom, Relyens, UI Investissement",2024-02-08,,,
Groover,Paris,Entertainment,startup,Series A,7500000,EUR,8031372,https://groover.co,Groover is an innovative platform reinventing music promotion by guaranteeing feedbacks to musicians from relevant music influencers.,Early Stage Venture,"Bpifrance, Frenchfounders, Mozza Business Angels, OneRagtime, Partech, Techmind, Trind Ventures, Verve Ventures",2024-02-13,,,
NeoEarth,Libourne,"AgriTech, BioTech",startup,Pre-Seed,,,,http://neoearth.fr,"We specialize in developing high-yield natural microalgae strains, tailored for producers seeking to enhance their productivity.",Seed,"Jeriko, Newfund",2024-02-16,,,
Avatar Medical,Paris,"MedTech, AI & Machine Learning",startup,Seed,5000000,EUR,5387798,https://avatarmedical.ai/,"Avatar Medical democratizes access to medical images. FDA 510(k) certified, CE marked.",Seed,"Acorn Pacific Ventures, Cenitz, CoreNest Capital, GO CAPITAL, Plug and Play, Rives Croissance",2024-02-19,,,
Bioptimus,Paris,"BioTech, AI & Machine Learning",startup,Seed,35000000,USD,35000000,https://www.bioptimus.com,Bioptimus is an AI company that offers a foundation model for biology to fuel breakthrough discoveries and accelerate.,Seed,"Anthony Sides, Bpifrance, Cathay Innovation, Frst, Headline, Hummingbird Ventures, NJF Capital, Owkin, Sofinnova Partners, Top Harvest Capital",2024-02-20,,,
AZmed,Paris,"HealthTech, MedTech",startup,Series A,15000000,EUR,16214849,http://www.azmed.co,AZmed is a Medtech startup that offers innovative solutions to optimize healthcare specialists’ workflow by using AI.,Early Stage Venture,"Maison Worms, Teampact ventures, Techstars",2024-02-20,,,
Planity,Paris,SaaS & Enterprise,startup,Series C,45000000,EUR,48644547,http://www.planity.com,"Planity is an online booking platform for beauty appointments, including haircuts, beauty salons, barbers, manicures, and spas.",Late Stage Venture,"Alven, Bpifrance Digital Venture, Crédit Mutuel Innovation, Eiffel Investment Group, InfraVia Capital Partners, Revaia",2024-02-20,,,
Dyor Exchange,La Turbie,FinTech,startup,Seed,1900000,USD,1900000,https://dyor.exchange,Dyor Exchange is a community-based investment platform.,Seed,"Castrum Capital, CSP DAO, DuckDAO, Unizen, Zephyrus Capital, Zero Sevenone Labs",2024-02-21,,,
Fabera,Paris,"SaaS & Enterprise, AI & Machine Learning",startup,Pre-Seed,850000,EUR,920176,https://www.fabera.fr,AI based Quoting SaaS,Seed,"Laurent Fiard, Maxime Thonnerieux, Michel Lahyani, Sébastien VERCRUYSSE",2024-02-22,,,
Aerix Systems,Mérignac,Drones,startup,Seed,1600000,EUR,1732097,https://www.aerix-systems.com,Aerix Systems is a company that develops omnidirectional drones that can navigate in any direction and orientation in space.,Seed,"BACS-Innov, Bpifrance, Defense Business Angels, INSEAD Business Business Angels Alumni France, Les Business Business Angels des Grandes Écoles, Région Nouvelle-Aquitaine, Starburst Accelerator, Techno'Start",2024-02-22,,,
Stilla Technologies,Villejuif,BioTech,startup,Series C,26500000,USD,26500000,https://www.stillatechnologies.com/,Stilla Technologies is a Paris-based european biotechnology company.,Late Stage Venture,"BNP Paribas Développement, CLIFF, Idinvest Partners, Illumina Ventures, Kurma Partners, LBO France, Paris-Saclay Seed Fund, Tusholdings, Zhongyuan Yuzi Investment Group",2024-02-22,,,
Digital4better,Nantes,SaaS & Enterprise,startup,Seed,1300000,EUR,1408222,https://digital4better.com/,"Digital4better provides software development, consulting services, and other digital solutions for large organizations.",Seed,GO CAPITAL,2024-02-23,,,
PlayMakers,Paris,"Gaming, SaaS & Enterprise",startup,Pre-Seed,1500000,USD,1500000,https://www.playmakers.co/,PlayMakers is a software company that provides user-generated content tool to computer games.,Seed,"Hugues OUVRARD, RockawayX, Sebastien Borget, v3ntures, Vincent Hart de Keating",2024-02-26,,,
Fliz,Nice,"AI & Machine Learning, MarTech",startup,Pre-Seed,,,,https://flizvideo.tech/,Automate high-quality videos powered by AI to increase your sales,Seed,,2024-02-26,,,
Bolero,Paris,"FinTech, Entertainment",startup,Seed,2000000,EUR,2170045,https://www.boleromusic.com,Bolero provides a platform that enables users to invest in music rights and earn royalties from the commercial performance of songs.,Seed,"Belgian rapper, Frederic Montagnon, Le Motif, Newfund, Petit Biscuit, Reda Berrehili, Sebastien Borget, Thierry Boyer, XVC Tech",2024-02-26,,,
INVENIS BIOTHERAPIES,Loos,BioTech,startup,Seed,,,,https://www.invenis-biotherapies.com/,InVenis Biotherapies is a biotech compagny developping innovative regenerative therapies based on blood platelet.,Seed,TMU BioMed Accelerator,2024-02-26,,,
Sorella Care,Moulineaux,HealthTech,startup,Seed,5000000,EUR,5425112,https://www.sorella-care.com/,Sorella is the first network of multidisciplinary health places for women.,Seed,"Blisce, Vorwerk Ventures",2024-02-26,,,
MedSmart,Neuilly-sur-seine,"HealthTech, FinTech",startup,Seed,1400000,EUR,1519031,https://medsmart.fr,Medsmart develops InsurTech & HealthTech solutions for health insurance companies. Let's simplify the patient journey !,Seed,,2024-02-26,,,
Unseenlabs,Rennes,DeepTech,startup,Series C,85000000,EUR,92226900,https://unseenlabs.space,"Unseenlabs offers maritime surveillance via space-based RF detection, tracking ships worldwide by electromagnetic signatures.",Late Stage Venture,"360 Capital, Bpifrance, Breizh Up, ISALT, Omnes Capital, S2G Investments, Supernova Invest, Unexo",2024-02-26,,,
Lyo UWP,Paris,MarTech,startup,Seed,5400000,USD,5400000,https://www.lyo-uwp.com/,"Lyo UWP is an innovative company specializing in website development, redesign, and multi-market lead generation.",Seed,,2024-02-27,,,
BoondManager,Esboz-brest,SaaS & Enterprise,startup,Seed,32000000,EUR,34689588,http://www.boondmanager.com,"BoondManager is the partner of many consulting, engineering and service companies.",Seed,Expedition Growth Capital,2024-02-27,,,
Carton Vert,La Rochelle,"E-commerce & Retail, CleanTech",startup,Seed,1400000,EUR,1517669,https://www.carton-vert.com,"Carton Vert is a company that specializes in the selling of discarded packing cardboard, carefully collected from trustworthy partners.",Seed,"Banque des Territoires, Equipstore, Fininco, Impact Business angels, OBRATORI, SYBE Ingénierie",2024-02-27,,,
Morpho Labs,Paris,"FinTech, Web3",startup,Seed,,,,https://morpho.org,Morpho is a decentralized cryptocurrency lending protocol that provides lending and borrowing services.,Seed,Pantera Capital,2024-02-27,,,
