name,City,Sectors,organization_type,Funding Type,Amount,Currency,Money Raised (in USD),website,description,Round,Investors,Announced Date,SIREN,SIRET,Founder
Mantle8,Grenoble,"ClimateTech, DeepTech, Energy",startup,Series A,31000000,EUR,33697000,https://mantle8.com,"Mantle8 develops proprietary geological exploration technologies to identify and commercialize naturally occurring underground hydrogen reservoirs, aiming to provide low-cost, low-carbon energy at an industrial scale.",Series A,"Sandwater, Breakthrough Energy Ventures, Ecotechnologies 2, IP Group, Wind Capital, Calderion",2026-05-01,844719500,,Emmanuel Masini
Sêmeia,Toulouse,"HealthTech, Artificial Intelligence",startup,Growth Equity,21000000,EUR,22827000,https://www.semeia.io,"Sêmeia develops MedicWise, a data-driven remote patient monitoring platform that automates the collection and analysis of patient health data to support chronic disease management across multiple medical specialties.",Growth Equity,"Acton Capital, Mutuelles Impact, Citizen Capital, Banque des Territoires, Orange Ventures",2026-05-01,829055854,,Pierre Hornus
Sonomind,Paris,"MedTech, DeepTech, Hardware",startup,Series A,20000000,EUR,21740000,https://www.sonomind.com,"Sonomind develops a non-invasive, painless ultrasound-based medical device designed to treat mental health disorders, starting with treatment-resistant depression, through low-intensity focused ultrasound stimulation of deep brain regions.",Series A,"Critical Path Ventures, Bpifrance",2026-05-01,929049187,,"Jérémy Bercoff, Mickael Tanter, Jean-François Aubry"
White Circle,Paris,"Artificial Intelligence, Cybersecurity",startup,Seed,11000000,USD,11000000,https://whitecircle.ai/,"White Circle develops a real-time AI control and enforcement platform that monitors and governs AI model behavior inside enterprise applications, helping companies prevent jailbreaks, hallucinations, data leakage, and unsafe autonomous actions.",Seed,"Tiny VC, Romain Huet, Durk Kingma, Guillaume Lample, Thomas Wolf",2026-05-01,,,Denis Shilov
Virtual Browser,Paris,Cybersecurity,startup,Seed,6000000,EUR,6522000,https://virtualbrowser.com,Virtual Browser develops a remote browser isolation (RBI) cybersecurity platform that secures web navigation through a server-side zero trust architecture while preserving the native user experience through pixel streaming technology.,Seed,"GO Capital, BNP Paribas Développement, Auriga Cyber Ventures, Bpifrance",2026-05-01,929565539,,Edouard de Rémur
Fakto,Paris,"FinTech, Artificial Intelligence, SaaS",startup,Seed,3600000,EUR,3913200,https://fakto.io/,"Fakto develops an AI-powered platform that continuously analyzes supplier contracts, pricing grids, and invoices to detect billing discrepancies, contract deviations, and unclaimed procurement value for large enterprises.",Seed,"Frst, GFC, Darkmode, Alain Dehaze, Jean-Stéphane Arcis, Dominique Vidal",2026-05-01,999136732,,"Nicolas Vecchioli, Benjamin Mai"
TwoWay,Paris,FinTech,startup,Pre-Seed,1500000,EUR,1630500,https://www.twoway.finance/,"TwoWay develops institutional trading intelligence software that helps banks and asset managers process broker communications, pricing updates, and market signals across FX and fixed-income markets to improve price discovery and trading efficiency.",Pre-Seed,"welovefounders, Tenity, Plug and Play, SuperCapital, Unorthodox Partners",2026-05-01,931171557,,Chirine BenZaied-Bourgerie
Pivot,Paris,"FinTech, SaaS, AI",startup,Series B,40000000,USD,40000000,https://www.pivotapp.ai,"Pivot develops an AI-powered procurement operating system that automates sourcing, invoicing, payments, budgeting, expense management, and reporting for enterprise finance and procurement teams.",Series B,"Forestay Capital, Notion Capital, Greyhound, Hedosophia, Visionaries Club, Emblem",2026-05-01,953146446,,"Marc-Antoine Lacroix, Romain Libeau, Estelle Giuly"
Dust,Paris,"SaaS, AI",startup,Series B,40000000,USD,40000000,https://dust.tt,"Dust develops a collaborative AI operating system that enables organizations to deploy AI agents across teams and workflows, allowing humans and agents to work together in shared workspaces with unified context, governance, and enterprise integrations.",Series B,"Abstract, Sequoia, Snowflake Ventures, Datadog",2026-05-01,949205314,,"Stanislas Polu, Gabriel Hubert"
Prelude,Paris,"Cybersecurity, Identity & Authentication, AI Infrastructure, Fraud Prevention",startup,Series A,20000000,USD,20000000,https://www.prelude.so,"Prelude develops onboarding and trust infrastructure for the AI age, combining telecom data, device intelligence, behavioral signals, and machine learning to help companies verify users, reduce fraud, and improve onboarding conversion.",Series A,"20VC, Singular, Seedcamp, Deel, FDJ Ventures, Steffen Tjerrild, Willem Delbare, Antoine Le Nel, Felix Blossier, George Arison, Barney Hussey-Yeo, Will Wu",2026-05-01,921318432,,"Matias Berny, Quentin Le Bras"
Otrera,Aix-en-Provence,"Nuclear, Energy, DeepTech",startup,Growth Equity,17000000,EUR,18479000,https://otrera.fr,"Otrera develops fourth-generation sodium-cooled fast neutron reactors (RNR-Na) designed to support sovereign, low-carbon energy production through advanced nuclear technologies and closed fuel cycle capabilities.",Growth Equity,"France 2030, EDF, Groupe ADF, Exergon, Ingerop, Fortil Group, Normandie Participations, Onet Technologies, Groupe REEL, Groupe SNEF",2026-05-01,924880933,,"Frédéric Varaine, Jean-Éric Lucas"
Lucis,Paris,"HealthTech, AI",startup,Series A,20000000,USD,20000000,https://www.lucis.life/,Lucis is a preventive health platform combining blood biomarker testing with AI-powered analysis and physician-reviewed personalized recommendations to help users proactively monitor and improve their health.,Series A,"Singular, General Catalyst, Y Combinator",2026-05-01,927853952,,"Maxime Berthelot, Baptiste Debever"
Crossject,Dijon,"Biotech, MedTech",startup,Growth Equity,15000000,EUR,16305000,https://www.crossject.com,"CROSSJECT is a specialty pharmaceutical company developing emergency medicines using its proprietary ZENEO® needle-free auto-injector platform. Its lead product, ZEPIZURE®, is an injectable rescue therapy for epileptic seizures currently in advanced regulatory development.",Growth Equity,,2026-05-01,438822215,,Patrick Alexandre
Mister IA,Paris,"AI, EdTech",startup,Growth Equity,10000000,EUR,10870000,https://mister-ia.com,"Mister IA is a French AI consultancy and training company helping enterprises and public organizations deploy generative AI through consulting, executive education, and operational implementation services.",Growth Equity,"Momentum Invest, 199 Ventures, Robin Rivaton",2026-05-01,977834928,,"Vincent Pavanello, Martin Pavanello"
Dealinka,Valenciennes,CleanTech,startup,Growth Equity,6500000,EUR,7065500,https://www.dealinka.com,"Dealinka develops a digital platform helping companies redistribute unsold non-food inventory to charities instead of destroying products, optimizing allocation based on logistics, storage capacity, and product type.",Growth Equity,,2026-05-01,948306519,,"Ramil Alvarez, Alexis Raspilair"
Leadbay,Paris,"AI, SaaS",startup,Seed,4300000,USD,4300000,https://leadbay.ai,Leadbay develops an AI-powered prospecting platform designed to help sales teams identify SMBs and traditional businesses that generate few digital signals. Its AI agents analyze hundreds of weak signals to infer high-potential leads and automate prospect discovery workflows.,Seed,"Y Combinator, Rebel Ventures, Deel Ventures",2026-05-01,977615459,,"Ludovic Granger, Milan Stankovic"
Mediads,Paris,MarTech,startup,Seed,3000000,EUR,3261000,https://mediads.io/,"Mediads develops a ""social publishing"" platform enabling brands to amplify social advertising campaigns through premium media publishers rather than solely through advertiser-owned social accounts.",Seed,"Seventure Partners, 404 Ventures",2026-05-01,920035607,,"Alfred Cardinal, Stéphane Labrouche"
Ellipse,Paris,Mobility,startup,Seed,1500000,EUR,1630500,https://ellipsebikes.com,"Ellipse is a French electric bike manufacturer developing turnkey corporate bike leasing solutions combining e-bikes, maintenance, insurance, and employee support to promote ""bike as a benefit"" mobility programs.",Seed,"SideAngels, UT Invest, Bpifrance, Caisse d'Épargne",2026-05-01,885269514,,Robin Gabuthy
Alice & Bob,Paris,"Quantum Computing, DeepTech",startup,Series B,,,,https://alice-bob.com,"Alice & Bob develops fault-tolerant quantum computers using proprietary ""cat qubit"" technology designed to dramatically reduce the hardware overhead required for scalable quantum computing.",Series B,"NVIDIA, Future French Champions, AVP, Bpifrance",2026-05-01,881729156,,"Théau Peronnin, Raphaël Lescanne"
Eyst Technology,Courbevoie,"InsurTech, FinTech, SaaS",startup,Seed,,,,http://eyst.io/,"EYST develops a SaaS platform enabling insurance companies to instantly settle claims through virtual bank cards loaded with compensation amounts, improving customer experience, payment speed, and fraud detection capabilities.",Seed,216 Capital,2026-05-01,914735592,,Marwen Amamou
